,Date,Daily Max 8-hour CO Concentration,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,CBSA_NAME,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
91,05/31/2020,0.1,1,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,05/31/2020,Bronx,106,45359,3997,192746
92,06/01/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,06/01/2020,Bronx,107,45466,4069,196815
93,06/02/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,06/02/2020,Bronx,105,45571,3579,200394
94,06/03/2020,0.3,3,PFIZER LAB SITE,19,79.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,06/03/2020,Bronx,117,45688,4303,204697
95,06/04/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,06/04/2020,Bronx,90,45778,4606,209303
96,06/05/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,06/05/2020,Bronx,104,45882,5144,214447
97,06/06/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,06/06/2020,Bronx,98,45980,4164,218611
98,06/07/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,06/07/2020,Bronx,72,46052,3718,222329
99,06/08/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,06/08/2020,Bronx,75,46127,3214,225543
100,06/09/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,06/09/2020,Bronx,96,46223,4468,230011
101,06/10/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,06/10/2020,Bronx,93,46316,3929,233940
102,06/11/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,06/11/2020,Bronx,80,46396,4894,238834
103,06/12/2020,0.3,3,PFIZER LAB SITE,20,83.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,06/12/2020,Bronx,105,46501,5869,244703
104,06/13/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,06/13/2020,Bronx,66,46567,4578,249281
