,Date,Daily Max 8-hour Ozone Concentration,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
86,05/26/2020,0.053,49,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,05/26/2020,Albany,3,1796,369,22401
87,05/27/2020,0.051,47,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,05/27/2020,Albany,18,1814,666,23067
88,05/28/2020,0.027000000000000003,25,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,05/28/2020,Albany,20,1834,416,23483
89,05/29/2020,0.037000000000000005,34,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,05/29/2020,Albany,9,1843,521,24004
90,05/30/2020,0.040999999999999995,38,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,05/30/2020,Albany,17,1860,760,24764
91,05/31/2020,0.031,29,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,05/31/2020,Albany,22,1882,537,25301
92,06/01/2020,0.035,32,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,06/01/2020,Albany,18,1900,618,25919
93,06/02/2020,0.042,39,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,06/02/2020,Albany,20,1920,1170,27089
94,06/03/2020,0.049,45,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,06/03/2020,Albany,10,1930,817,27906
95,06/04/2020,0.048,44,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,06/04/2020,Albany,11,1941,1179,29085
96,06/05/2020,0.044000000000000004,41,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,06/05/2020,Albany,12,1953,1164,30249
97,06/06/2020,0.05,46,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,06/06/2020,Albany,8,1961,751,31000
98,06/07/2020,0.027000000000000003,25,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,06/07/2020,Albany,17,1978,1194,32194
99,06/08/2020,0.027999999999999997,26,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,06/08/2020,Albany,5,1983,616,32810
