,Date,Daily Max 1-hour NO2 Concentration,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,CBSA_NAME,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
471,03/25/2020,24.6,23,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,03/25/2020,Erie,12,134,116,988
472,03/26/2020,17.4,16,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,03/26/2020,Erie,85,219,348,1336
473,03/26/2020,17.2,16,Buffalo Near-Road,20,83.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,03/26/2020,Erie,85,219,348,1336
474,03/27/2020,11.6,10,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,03/27/2020,Erie,99,318,370,1706
475,03/27/2020,5.4,5,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,03/27/2020,Erie,99,318,370,1706
476,03/28/2020,13.3,12,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,03/28/2020,Erie,40,358,126,1832
477,03/28/2020,4.2,4,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,03/28/2020,Erie,40,358,126,1832
478,03/29/2020,23.0,22,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,03/29/2020,Erie,18,376,67,1899
479,03/29/2020,7.7,7,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,03/29/2020,Erie,18,376,67,1899
480,03/30/2020,5.9,5,BUFFALO,19,79.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,03/30/2020,Erie,62,438,189,2088
481,03/30/2020,7.2,7,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,03/30/2020,Erie,62,438,189,2088
482,03/31/2020,15.0,14,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,03/31/2020,Erie,26,464,119,2207
483,03/31/2020,15.5,14,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,03/31/2020,Erie,26,464,119,2207
484,04/01/2020,17.4,16,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,04/01/2020,Erie,153,617,571,2778
485,04/01/2020,13.8,12,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,04/01/2020,Erie,153,617,571,2778
486,04/02/2020,16.4,15,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,04/02/2020,Erie,103,720,429,3207
487,04/02/2020,17.8,16,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,04/02/2020,Erie,103,720,429,3207
488,04/03/2020,15.1,14,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,04/03/2020,Erie,88,808,317,3524
489,04/03/2020,19.3,18,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,04/03/2020,Erie,88,808,317,3524
490,04/04/2020,19.4,18,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,04/04/2020,Erie,110,918,402,3926
